U1,N1,N2,N111,N112,N121,N122,N131,N132,N141,N142,N211,N212,N221,N222,N231,N232,N241,N242,L
9,8,10,24,30,6,4,4,4,24,30,4,4,10,10,8,10,14,18,1
9,6,10,30,20,6,8,6,8,30,20,12,8,6,6,6,8,10,20,1
7,20,4,14,18,32,2,16,2,14,18,20,8,60,2,14,4,26,8,1
8,8,12,20,52,6,12,8,12,20,52,8,12,14,12,8,12,20,12,1
9,8,6,14,18,4,4,2,10,14,18,2,14,6,6,6,6,16,22,1
7,60,8,126,22,60,12,60,8,126,22,60,12,60,14,60,8,60,16,1
9,8,10,26,22,8,12,10,8,26,22,10,8,22,8,8,10,16,12,1
9,10,10,18,14,6,4,8,10,18,14,6,16,4,12,8,4,20,20,1
9,12,6,18,14,8,4,6,4,18,14,6,4,20,6,12,4,26,22,1
8,8,8,20,10,8,2,8,6,20,10,8,4,12,2,8,2,24,26,1
10,10,4,24,20,10,2,10,6,24,20,10,4,8,2,10,4,18,8,1
9,10,6,22,10,4,4,4,4,22,10,2,10,4,6,10,4,22,10,1
8,8,6,12,10,6,6,10,4,12,10,8,8,10,8,4,4,16,18,1
9,8,6,20,10,12,4,8,8,20,10,8,6,12,4,8,6,24,18,1
8,8,12,18,14,8,12,12,28,18,14,12,46,8,20,8,12,16,24,1
8,8,10,20,62,10,10,6,10,20,62,6,10,6,10,8,10,12,10,1
7,2,26,14,62,8,16,4,16,14,62,6,18,12,20,2,26,12,26,1
7,18,6,30,30,14,2,12,10,30,30,12,8,20,6,18,6,18,16,1
9,10,4,24,12,6,2,8,2,24,12,6,2,10,6,10,2,18,14,1
9,8,10,22,14,14,8,4,8,22,14,4,10,14,8,8,10,28,24,1
8,40,8,40,14,40,2,50,8,40,14,48,8,40,6,40,4,40,18,1
8,6,12,22,18,4,8,4,12,22,18,4,6,4,10,6,12,22,42,1
10,8,2,18,12,6,2,4,6,18,12,0,8,0,6,8,2,22,10,1
8,8,4,14,18,12,0,8,0,14,18,6,0,10,0,8,2,28,20,1
8,8,10,14,52,6,8,10,8,14,52,10,8,6,8,6,10,20,10,1
9,8,4,24,12,6,2,6,4,24,12,10,0,14,2,6,2,14,14,1
9,4,8,12,22,8,4,0,6,12,22,6,8,4,8,4,8,16,24,1
10,2,6,18,10,4,6,6,4,18,10,6,8,8,6,2,6,18,14,1
9,8,12,22,12,10,4,8,8,22,12,8,2,10,6,8,6,22,24,1
9,10,12,26,24,8,12,6,12,26,24,10,12,10,18,10,12,12,22,1
7,14,10,50,24,8,6,6,6,50,24,16,6,10,6,10,10,14,26,1
9,8,8,22,22,14,2,12,6,22,22,8,4,18,12,8,8,22,18,1
8,12,6,30,22,6,6,16,4,30,22,6,4,2,8,12,6,20,12,1
7,10,6,12,12,8,6,12,4,12,12,12,12,12,14,10,4,18,16,1
7,4,16,12,74,2,8,6,8,12,74,6,14,4,12,4,16,12,16,1
8,6,20,18,20,2,12,8,52,18,20,8,54,8,20,6,20,12,30,1
8,10,10,12,24,6,8,8,2,12,24,6,6,8,10,10,6,20,18,1
7,42,6,110,12,24,4,46,8,110,12,58,8,24,6,42,4,46,16,1
7,12,10,12,24,12,8,8,4,12,24,8,2,10,4,12,10,24,26,1
9,10,6,26,18,2,2,2,10,26,18,2,16,2,4,10,6,24,16,1
8,8,8,62,26,6,8,6,10,62,26,6,8,6,12,8,8,8,16,1
9,6,10,12,24,6,8,4,18,12,24,6,16,12,8,6,10,12,24,1
7,28,6,62,26,28,2,28,2,62,26,28,2,28,10,28,6,28,12,1
8,4,10,22,40,32,10,6,18,22,40,10,10,32,14,4,10,24,16,1
8,10,12,26,14,10,2,6,16,26,14,4,14,8,8,10,12,22,20,1
8,8,10,20,18,2,8,12,6,20,18,16,4,2,10,8,10,16,16,1
7,22,8,84,14,8,6,8,10,84,14,10,8,10,14,22,8,22,16,1
8,8,4,52,22,6,12,6,6,52,22,6,14,8,12,8,4,8,12,1
8,6,20,14,62,6,8,6,12,14,62,6,12,6,16,6,20,12,20,1
6,22,14,60,32,12,4,14,10,60,32,12,12,14,6,22,14,54,22,1
9,8,10,22,14,6,2,4,8,22,14,6,10,14,8,8,4,26,16,1
8,6,14,20,20,4,6,4,8,20,20,2,8,2,4,4,8,14,22,1
8,40,8,40,10,40,4,40,6,40,10,42,6,40,4,40,4,40,18,1
8,30,4,74,16,16,6,12,12,74,16,12,8,12,12,30,4,30,14,1
9,12,8,20,18,4,2,20,10,20,18,20,8,6,8,12,6,28,14,1
8,8,20,22,62,4,12,8,12,22,62,8,12,6,12,8,20,18,20,1
8,10,8,10,22,8,8,8,8,10,22,4,8,18,8,10,8,22,22,1
7,8,40,22,14,8,48,10,8,22,14,16,20,14,74,8,14,14,40,1
9,6,4,12,22,2,2,4,0,12,22,6,2,12,8,6,4,14,16,1
9,6,8,14,18,14,8,6,10,14,18,12,8,14,8,6,8,22,22,1
8,8,12,18,74,10,6,8,6,18,74,6,8,16,8,8,12,22,12,1
10,8,2,12,12,6,0,6,8,12,12,6,12,8,10,6,2,20,16,1
9,2,6,14,22,10,6,4,4,14,22,2,4,6,12,2,6,12,12,1
9,6,10,26,16,6,6,8,6,26,16,6,8,8,8,6,6,14,24,1
8,12,8,14,20,8,12,8,12,14,20,8,10,10,14,8,6,22,14,1
7,4,42,10,126,4,16,8,16,10,126,4,24,2,26,4,42,8,42,1
8,12,6,74,14,10,6,10,8,74,14,10,8,12,4,12,6,12,10,1
7,14,6,24,10,10,6,16,6,24,10,18,10,12,6,14,6,24,14,1
7,8,24,24,74,2,12,22,16,24,74,20,18,4,16,8,24,24,24,1
8,30,6,62,20,20,10,20,8,62,20,20,14,20,16,30,6,30,10,1
7,12,4,52,22,12,6,12,4,52,22,12,2,12,6,12,4,12,12,1
8,18,8,22,12,6,8,14,8,22,12,16,8,12,8,12,6,18,22,1
9,8,8,22,24,6,8,6,18,22,24,8,16,8,22,8,8,24,22,1
7,4,34,12,72,2,6,8,6,12,72,2,2,8,10,2,34,6,36,1
9,6,8,14,24,4,4,6,6,14,24,6,8,6,8,6,8,20,16,1
9,6,10,14,12,4,4,6,4,14,12,4,8,4,4,6,6,20,20,1
8,8,20,18,62,4,12,10,12,18,62,4,12,6,12,4,20,16,20,1
10,8,6,26,22,6,8,4,8,26,22,8,16,8,10,8,6,16,16,1
9,8,12,22,26,6,12,8,12,22,26,10,12,8,12,8,12,22,30,1
8,6,8,12,18,2,8,6,4,12,18,6,2,2,4,2,8,18,20,1
10,6,10,12,22,6,8,12,8,12,22,12,4,6,10,6,10,20,26,1
8,4,22,22,62,6,12,4,14,22,62,10,20,12,18,4,22,10,22,1
7,22,6,22,22,26,4,20,4,22,22,20,6,48,2,22,6,34,18,1
7,28,8,52,16,26,8,26,2,52,16,26,4,26,8,28,4,28,30,1
8,6,4,18,16,6,4,6,10,18,16,10,2,6,2,6,2,26,10,1
8,6,10,12,16,8,8,6,8,12,16,4,6,14,8,6,10,22,20,1
7,18,6,74,14,10,6,10,6,74,14,10,6,10,6,18,6,18,8,1
7,6,22,26,22,8,38,6,16,26,22,6,14,14,56,6,20,8,24,1
9,6,10,18,22,8,8,12,8,18,22,10,8,10,10,6,10,18,22,1
9,4,6,14,16,2,10,6,8,14,16,4,8,6,16,4,6,18,10,1
10,0,10,12,22,2,6,2,10,12,22,8,8,8,8,0,10,6,20,1
7,8,28,32,32,10,18,10,26,32,32,10,8,10,16,8,24,16,32,1
10,4,2,18,12,4,2,4,6,18,12,6,2,4,2,4,2,18,14,1
10,6,4,14,14,6,10,4,8,14,14,8,8,10,12,6,4,24,16,1
